aperio_slide,frame_id,x,y,tissue_frac,reg_ok,ecc_score,lab_L,lab_a,lab_b,lab_total,ssim,psnr,mae
A06,00A,0,0,0.485,True,0.92358,58.44734,21.42941,11.37749,91.25425,0.57084,11.95732,53.73868
A06,00A,512,0,0.507,True,0.92358,57.65208,21.82473,11.99807,91.47489,0.61685,12.4904,52.73054
A06,00A,1024,0,0.514,True,0.92358,57.67384,21.02352,12.33055,91.02791,0.602,12.58348,52.93782
A06,00A,1027,0,0.513,True,0.92358,57.64908,21.00552,12.33723,90.99184,0.60131,12.58495,52.92329
A06,00A,0,512,0.489,True,0.92358,58.94586,22.65539,11.4849,93.08615,0.5523,11.92105,54.335
A06,00A,512,512,0.509,True,0.92358,56.94688,21.90033,11.80865,90.65585,0.58116,12.52427,52.24359
A06,00A,1024,512,0.538,True,0.92358,56.1177,19.77506,12.06102,87.95378,0.63815,12.75775,51.79665
A06,00A,1027,512,0.539,True,0.92358,56.10619,19.75584,12.07178,87.93381,0.63747,12.75784,51.79395
A06,00A,0,864,0.526,True,0.92358,58.58985,21.20048,11.9684,91.75873,0.56831,12.03838,54.14326
A06,00A,512,864,0.502,True,0.92358,57.27783,22.39545,11.73697,91.41025,0.60382,12.52783,52.37388
A06,00A,1024,864,0.486,True,0.92358,55.79925,22.18165,11.0743,89.05521,0.66028,12.8415,50.8924
A06,00A,1027,864,0.486,True,0.92358,55.75327,22.16458,11.0755,88.99335,0.65969,12.84186,50.89074
A06,00B,0,0,0.506,True,0.94068,59.10666,21.23396,12.09582,92.43644,0.62006,12.11608,54.22698
A06,00B,512,0,0.486,True,0.94068,54.80723,20.44738,11.83437,87.08898,0.66109,12.86356,49.83703
A06,00B,1024,0,0.535,True,0.94068,56.58364,20.58888,11.7876,88.96012,0.6686,12.53148,51.78454
A06,00B,1027,0,0.535,True,0.94068,56.67227,20.67652,11.80107,89.14986,0.66816,12.52528,51.82054
A06,00B,0,512,0.525,True,0.94068,57.82827,20.3882,12.13317,90.34964,0.66634,12.36361,53.05617
A06,00B,512,512,0.498,True,0.94068,55.83404,21.66113,12.2873,89.78248,0.61961,12.73623,50.82006
A06,00B,1024,512,0.524,True,0.94068,55.73868,20.95676,11.93669,88.63213,0.67041,12.78272,50.77401
A06,00B,1027,512,0.524,True,0.94068,55.77379,20.97314,11.93277,88.67969,0.67068,12.78203,50.77891
A06,00B,0,864,0.504,True,0.94068,57.18186,21.19898,11.80205,90.18289,0.66262,12.46274,52.34679
A06,00B,512,864,0.473,True,0.94068,56.95456,23.4935,12.46672,92.91478,0.62208,12.675,51.23426
A06,00B,1024,864,0.497,True,0.94068,56.95949,22.33884,12.24764,91.54598,0.66758,12.67386,51.55458
A06,00B,1027,864,0.497,True,0.94068,57.02275,22.33483,12.26997,91.62755,0.66776,12.67358,51.55202
A06,00C,0,0,0.489,True,0.90966,58.17833,22.86175,11.57888,92.61896,0.59782,12.15854,53.13513
A06,00C,512,0,0.474,True,0.90966,58.37582,23.12585,11.85982,93.36149,0.56013,12.28332,53.17429
A06,00C,1024,0,0.477,True,0.90966,57.32211,21.95837,11.34188,90.62236,0.65533,12.47764,52.27578
A06,00C,1027,0,0.477,True,0.90966,57.38027,21.94624,11.34759,90.6741,0.65506,12.47728,52.27421
A06,00C,0,512,0.456,True,0.90966,57.23458,24.32306,11.38835,92.94599,0.58355,12.32691,51.81689
A06,00C,512,512,0.472,True,0.90966,57.82612,24.11506,11.80011,93.74129,0.61228,12.5495,52.08442
A06,00C,1024,512,0.46,True,0.90966,57.23379,24.02494,11.59858,92.8573,0.61067,12.65856,51.67635
A06,00C,1027,512,0.46,True,0.90966,57.17799,24.00119,11.60151,92.7807,0.60975,12.65903,51.66416
A06,00C,0,864,0.43,True,0.90966,56.92642,26.08948,10.48209,93.49798,0.60625,12.41502,51.01429
A06,00C,512,864,0.462,True,0.90966,58.44286,24.84779,11.73606,95.02672,0.60396,12.44289,52.45546
A06,00C,1024,864,0.465,True,0.90966,57.59201,24.25219,11.3662,93.2104,0.62169,12.60593,52.03872
